,id,name,vector_id,datetime,score,rerunscore
165,31117,elog time gap vector at 2024-02-22 19:30:52Z,6,2024-02-22 11:30:52.961181-08,0.0402175005525964,0.000191794982044671
99,31331,elog time gap vector at 2024-02-23 16:20:08Z,6,2024-02-23 08:20:08.324979-08,0.0402175005525964,0.0043390490114288
67,31425,elog time gap vector at 2024-02-23 20:20:16Z,6,2024-02-23 12:20:16.765561-08,0.0402175005525964,0.00788090902497126
30,31612,elog time gap vector at 2024-02-24 15:26:41Z,6,2024-02-24 07:26:41.37187-08,0.0402175005525964,0.122456073273986
11,31761,elog time gap vector at 2024-02-24 22:08:05Z,6,2024-02-24 14:08:05.286185-08,0.0402175005525964,0.000287409114598153
13,31936,elog time gap vector at 2024-02-25 22:33:50Z,6,2024-02-25 14:33:50.061703-08,0.0402175005525964,0.0110966781698599
36,32092,elog time gap vector at 2024-02-26 15:46:37Z,6,2024-02-26 07:46:37.498051-08,0.0402175005525964,0.12920860465823
85,32186,elog time gap vector at 2024-02-26 19:46:45Z,6,2024-02-26 11:46:45.881104-08,0.0402175005525964,0.212884544726828
140,32278,elog time gap vector at 2024-02-28 16:09:29Z,6,2024-02-28 08:09:29.880232-08,0.225557174422809,0.995270562419475
62,32385,elog time gap vector at 2024-03-05 19:19:58Z,6,2024-03-05 11:19:58.197266-08,0.2264203233005059,0.999999999998772
172,32479,elog time gap vector at 2024-03-05 23:20:06Z,6,2024-03-05 15:20:06.600289-08,2.597014913670028e-05,0.999999999999326
57,32605,elog time gap vector at 2024-03-06 17:34:02Z,6,2024-03-06 09:34:02.124169-08,0.0001607791984146,0.999999999999956
70,32733,elog time gap vector at 2024-03-06 23:22:09Z,6,2024-03-06 15:22:09.240583-08,0.0002871788790597,0.999999999999982
169,32859,elog time gap vector at 2024-03-07 15:15:33Z,6,2024-03-07 07:15:33.399091-08,0.001405274365066,0.999999999999998
28,32953,elog time gap vector at 2024-03-07 19:15:42Z,6,2024-03-07 11:15:42.03339-08,0.0020954598883731,0.999999999999999
124,33160,elog time gap vector at 2024-03-08 15:13:25Z,6,2024-03-08 07:13:25.636893-08,0.0152221803099771,1.0
38,33254,elog time gap vector at 2024-03-08 19:13:34Z,6,2024-03-08 11:13:34.408676-08,0.017505461530954,0.000181720291883694
27,33348,elog time gap vector at 2024-03-08 23:13:42Z,6,2024-03-08 15:13:42.856341-08,0.017505461530954,0.000331183013050823
56,33481,elog time gap vector at 2024-03-09 15:44:55Z,6,2024-03-09 07:44:55.510475-08,0.017505461530954,0.00393273008555407
72,33575,elog time gap vector at 2024-03-09 19:45:04Z,6,2024-03-09 11:45:04.173059-08,0.017505461530954,0.000178685918421081
92,33813,elog time gap vector at 2024-03-10 18:44:15Z,6,2024-03-10 11:44:15.981898-07,0.017505461530954,0.00558699967041607
77,33906,elog time gap vector at 2024-03-10 22:44:24Z,6,2024-03-10 15:44:24.404891-07,0.017505461530954,0.010137152613809
6,34114,elog time gap vector at 2024-03-11 20:11:24Z,6,2024-03-11 13:11:24.373463-07,0.017505461530954,0.000211215281348027
48,34208,elog time gap vector at 2024-03-12 00:11:32Z,6,2024-03-11 17:11:32.947019-07,0.017505461530954,0.000384929949783282
45,34356,elog time gap vector at 2024-03-12 17:07:29Z,6,2024-03-12 10:07:29.447112-07,0.017505461530954,0.00485823493676397
143,34450,elog time gap vector at 2024-03-12 21:07:37Z,6,2024-03-12 14:07:37.876763-07,0.017505461530954,0.00882013553793221
163,34544,elog time gap vector at 2024-03-13 01:07:46Z,6,2024-03-12 18:07:46.282628-07,0.017505461530954,0.0159611374191829
80,34649,elog time gap vector at 2024-03-13 15:03:57Z,6,2024-03-13 08:03:57.349022-07,0.017505461530954,0.115981485617613
162,34808,elog time gap vector at 2024-03-14 02:44:36Z,6,2024-03-13 19:44:36.049779-07,0.017505461530954,0.430592322529552
20,34902,elog time gap vector at 2024-03-14 06:44:44Z,6,2024-03-13 23:44:44.66975-07,0.017505461530954,0.579549485432693
157,34996,elog time gap vector at 2024-03-14 10:44:52Z,6,2024-03-14 03:44:52.974752-07,0.017505461530954,0.000138177347834241
145,35160,elog time gap vector at 2024-03-14 18:40:21Z,6,2024-03-14 11:40:21.414668-07,0.017505461530954,0.000453460247962709
151,35254,elog time gap vector at 2024-03-14 22:40:30Z,6,2024-03-14 15:40:30.029356-07,0.017505461530954,0.000826246809476654
86,35396,elog time gap vector at 2024-03-15 15:54:10Z,6,2024-03-15 08:54:10.436557-07,0.017505461530954,0.0108400675043144
3,35516,elog time gap vector at 2024-03-15 23:08:18Z,6,2024-03-15 16:08:18.474715-07,0.017505461530954,0.000194838027331014
