,id,name,vector_id,datetime,score,rerunscore
33,22953,elog time gap vector at 2024-03-10 00:00:11Z,6,2024-03-09 16:00:11.395364-08,0.00022837229435,0.000338076133418897
181,23047,elog time gap vector at 2024-03-10 04:00:13Z,6,2024-03-09 20:00:13.912734-08,0.0003406771182574,0.000615908271541415
182,23136,elog time gap vector at 2024-03-10 08:00:20Z,6,2024-03-10 00:00:20.323645-08,0.0005082351983694,0.00112198940448136
69,23203,elog time gap vector at 2024-03-10 11:00:22Z,6,2024-03-10 04:00:22.784186-07,0.0006859716947693,0.00175868833823226
17,23309,elog time gap vector at 2024-03-10 16:03:04Z,6,2024-03-10 09:03:04.388491-07,0.0011355564386828,0.00374085482770182
78,23403,elog time gap vector at 2024-03-10 20:03:07Z,6,2024-03-10 13:03:07.058926-07,0.0016932252657108,0.00679613421824189
18,23497,elog time gap vector at 2024-03-11 00:03:09Z,6,2024-03-10 17:03:09.566124-07,0.0025240691719906,0.012315830337974
39,23625,elog time gap vector at 2024-03-11 14:53:19Z,6,2024-03-11 07:53:19.535954-07,0.011033305540743,0.10348743385825
115,23779,elog time gap vector at 2024-03-11 21:49:30Z,6,2024-03-11 14:49:30.645839-07,0.0218363876434966,0.000269907834334375
89,23934,elog time gap vector at 2024-03-12 09:59:58Z,6,2024-03-12 02:59:58.548852-07,0.0701323828247741,0.0016737768472192
61,24072,elog time gap vector at 2024-03-12 16:12:25Z,6,2024-03-12 09:12:25.39559-07,0.1063607530030654,0.000157929813044741
52,24166,elog time gap vector at 2024-03-12 20:12:28Z,6,2024-03-12 13:12:28.058968-07,0.1063607530030654,0.000287761446636176
163,24336,elog time gap vector at 2024-03-13 16:08:01Z,6,2024-03-13 09:08:01.475441-07,0.1063607530030654,0.00568513767383702
106,24430,elog time gap vector at 2024-03-13 20:08:04Z,6,2024-03-13 13:08:04.156533-07,0.1063607530030654,0.0103119450223858
121,24671,elog time gap vector at 2024-03-14 17:00:41Z,6,2024-03-14 10:00:41.774134-07,0.1063607530030654,0.000197459570369545
192,24765,elog time gap vector at 2024-03-14 21:00:44Z,6,2024-03-14 14:00:44.487196-07,0.1063607530030654,0.000359777051396614
117,24859,elog time gap vector at 2024-03-15 01:00:47Z,6,2024-03-14 18:00:47.01556-07,0.1063607530030654,0.000655431686324048
179,24980,elog time gap vector at 2024-03-15 16:16:26Z,6,2024-03-15 09:16:26.874938-07,0.1063607530030654,0.00642955253428593
